register_no,subject_code,semester,academic_year,ia1_marks,ia2_marks,ia3_marks,semester_grade
STUIT2501,CS101,1,2024,85,90,88,A+
STUIT2501,MA101,1,2024,78,82,80,A
STUIT2501,PH101,1,2024,92,95,90,O
STUIT2501,CH101,1,2024,75,78,82,B+
STUIT2501,EN101,1,2024,88,85,90,A+
STUIT2501,CS201,2,2024,90,88,92,O
STUIT2501,MA201,2,2024,82,85,88,A+
STUIT2501,DS101,2,2024,95,92,90,O
STUIT2502,CS101,1,2024,92,95,90,O
STUIT2502,MA101,1,2024,85,88,90,A+
STUIT2502,PH101,1,2024,78,82,85,A
STUIT2502,CH101,1,2024,88,90,85,A+
STUIT2502,EN101,1,2024,92,88,95,O
